rule_id,rule_answer,rb_ii_class,difficulty,mcc_mean,mcc_decile,mcc_std,base_rate,base_rate_decile,ast_complexity,n_features,features,entropy_norm,H_decile,eff_n_classes,n_parse_errors,failure_dir,time_s_mean,decomposable,missed_component,nearest_conf,n_eff
straight5,"Five cards form a straight (consecutive ranks), no extra constraint",RB_CLEAR,3,0.5463035390025435,9,0.4625210361317121,0.0168,6,74,2,"position, rank",0.5904671603042952,5,4.948154665398354,1,low_signal,82.9025625,,,two_pairs_suits,16
strict_increasing,Ranks increase strictly from left to right (each card higher than the previous),TOO_HARD,3,0.5278263157894737,8,0.49772731685035954,0.0005,2,52,2,"position, rank",0.5884150088949787,4,5.655067739099506,0,low_signal,92.56126315789473,,,all_4s_or_queens,19
three_spades,At least three of the six cards are spades,MIXED,2,0.49988750000000004,8,0.4648899693408646,0.1569,9,24,1,suit,0.7443042503656206,7,7.874656545406173,0,low_signal,109.7395,,,pair_jacks_pos45,16
all_clubs_or_hearts,Every card is a club or a heart,RB_CLEAR,1,0.5251875,8,0.46733047176890785,0.0113,6,23,1,suit,0.6616955553999495,6,6.262688930244811,0,low_signal,94.957625,,,two_pairs_suits,16
both_halves_uniform_suit,"All cards in the left half share a suit, and all in the right half share a suit",MIXED,1,0.5420789473684211,9,0.4342850683703255,0.003,4,105,2,"position, suit",0.6573996890323394,6,6.928707371182724,0,low_signal,120.43663157894737,,,all_same_color,19
all_4s_or_queens,Every card is a 4 or a Queen,MIXED,1,0.4520578947368421,7,0.4661678106656776,0.0,1,23,1,set(),0.6745823336529269,6,7.28827226951249,0,low_signal,74.05768421052632,,,some_half_red_other_black,19
all_even,"Every card is an even number (2, 4, 6, 8, or 10 — no face cards)",II_CANDIDATE,2,0.49674545454545455,8,0.4695796870386738,0.0021,3,43,1,rank,0.6410133524468808,5,7.252886195531834,0,low_signal,75.83431818181818,,,two_pairs_ranks,22
all_but_one_same_color,All cards except at most one are the same color,MIXED,1,0.4128379095121043,6,0.4728166673071504,0.1911,10,62,1,color,0.6530816013544279,6,6.841171053309107,0,low_signal,236.94726315789475,,,no_adjacent_same_suit,19
all_odd,"Every card is an odd number (3, 5, 7, or 9 — no face cards)",II_CANDIDATE,2,0.44077599999999995,7,0.4708367821485488,0.0004,2,43,1,rank,0.6621835014165143,6,8.427384512102071,0,low_signal,90.33928,,,two_pairs_ranks,25
ap_len3_step1_anywhere,"Three cards have consecutive ranks (e.g., 5, 6, 7) regardless of position",MIXED,2,0.31958000000000003,5,0.4795608215857505,0.3617,10,54,2,"position, rank",0.7823522792183225,8,8.319891776114332,0,low_signal,79.2704,,,all_but_one_same_color,15
pair_jacks_pos45,Positions 4 and 5 are both Jacks,MIXED,1,0.45242399999999994,8,0.3775497257633754,0.0043,4,35,1,position,0.5862137150320484,4,6.599204790746758,0,low_signal,56.4326,,,three_spades,25
every_other_ace,"Cards at positions 1, 3, and 5 are all Aces",MIXED,1,0.4202,7,0.4017045418555389,0.0002,1,46,1,position,0.48569626169146085,2,4.17912964083417,0,low_signal,40.00484210526316,,,four_kind_adjacent_any,19
four_any_suit_anywhere,At least four cards share the same suit (anywhere in the hand),MIXED,2,0.3131238095238095,5,0.4706238715585149,0.1139,9,54,1,suit,0.5716571285144871,4,5.699753649080175,0,low_signal,98.89038095238095,,,all_even,21
ranks_palindrome,The sequence of ranks reads the same forwards and backwards,MIXED,3,0.3706217391304348,6,0.388322377230369,0.0002,1,64,1,rank,0.5419972817756045,4,5.470824531294368,0,mostly_undergen,63.287565217391304,,,halves_copy_ranks,23
pos135_same_rank,"Cards at positions 1, 3, and 5 all share the same rank",MIXED,1,0.36726250000000005,6,0.3728848312062989,0.0023,3,49,2,"position, rank",0.6193042503656206,5,5.568223042771737,0,mostly_undergen,89.574625,,,triple_any_adjacent,16
some_half_red_other_black,One half is all red and the other is all black (either direction),II_CANDIDATE,1,0.43339138166097063,7,0.34147844158367563,0.0336,8,145,2,"color, position",0.5139899195589881,3,4.781975964890899,1,mostly_undergen,65.55772727272728,True,3+3 count caught; halves structure missed,two_pairs_suits,22
halves_copy_ranks,The rank sequence of the right half matches the left half exactly,II_CANDIDATE,2,0.32481141611107667,5,0.33688714202276887,0.0002,2,90,2,"position, rank",0.4486841794508706,2,3.469521526355495,0,low_signal,132.6826875,,,no_adjacent_same_suit,16
three_any_suit_adjacent,Three consecutive positions share the same suit,TOO_HARD,2,0.22504545454545452,4,0.3928379734552526,0.1733,10,72,2,"position, suit",0.7526726948270805,7,10.24247462685182,0,low_signal,106.46131818181817,,,three_or_more_same_suit,22
four_of_a_kind_adjacent,Four consecutive cards share the same rank,II_CANDIDATE,1,0.45727594455812726,8,0.3052029671697594,0.0001,1,98,2,"position, rank",0.6276602028637477,5,6.959616229144354,1,mostly_undergen,76.59113043478261,True,rank-equality caught; adjacency constraint missed,four_kind_adjacent_any,23
triple_2s_pos234,"Positions 2, 3, and 4 are all 2s",II_CANDIDATE,1,0.34351739130434783,6,0.3060563327689485,0.0002,2,46,1,position,0.5035512418699518,3,4.849531034259784,0,mostly_undergen,57.003130434782605,,,,23
three_or_more_same_suit,At least 3 cards share the same suit,TOO_HARD,1,0.15239999999999998,3,0.40919744894393245,0.6042,10,54,1,suit,0.7819767878726831,8,9.585040702788493,1,low_signal,133.45557894736842,,,no_adjacent_same_suit,19
triple_3s_adjacent,Three consecutive positions are all 3s,II_CANDIDATE,1,0.4346841547702429,7,0.2854398562035362,0.0007,3,65,1,position,0.5020056429458204,3,5.132448559458699,0,low_signal,48.10261538461538,,,triple_any_adjacent,26
ap_step1_len3_adj_ordered,"Three consecutive positions have ranks increasing by exactly 1 (e.g., 5, 6, 7)",TOO_HARD,3,0.19215714285714283,4,0.3392573732524062,0.0202,7,91,2,"position, rank",0.8595824360039367,9,9.068305454088847,1,low_signal,121.10485714285714,True,consecutive-rank run caught; adjacency constraint missed,ap_len3_step1_anywhere,14
triple_any_pos345,"Positions 3, 4, and 5 all share the same rank",II_CANDIDATE,1,0.29117499999999996,5,0.28616321719431376,0.0023,4,49,2,"position, rank",0.42422060498199454,1,3.8504726945778804,0,mostly_undergen,62.35458333333334,,,triple_any_adjacent,24
four_any_suit_adjacent,Four consecutive positions share the same suit,II_CANDIDATE,2,0.29459375,5,0.3204186196773488,0.0277,7,98,2,"position, suit",0.801894623694071,8,8.7720532146386,1,mostly_undergen,104.10225,,,four_any_suit_anywhere,16
both_halves_uniform_color,"All cards in the left half are the same color, and all in the right half are the same color",TOO_HARD,2,0.22822499999999998,4,0.33622751318861455,0.0565,8,121,2,"color, position",0.875,9,11.31370849898476,0,low_signal,162.714,,,two_pairs_suits,16
three_clubs_adjacent,Three consecutive positions are all clubs,II_CANDIDATE,1,0.2821555555555555,4,0.3149450696765711,0.0431,8,65,2,"position, suit",0.8300677204059526,9,11.014408686042826,0,mostly_undergen,93.7003888888889,,,three_spades,18
triple_any_adjacent,Three consecutive positions share the same rank,II_CANDIDATE,2,0.3949478260869566,6,0.24246753950305475,0.0089,5,72,2,"position, rank",0.5382717109257348,3,5.407288881050153,0,mostly_undergen,45.60134782608696,,,no_adjacent_same_suit,23
four_hearts_adjacent,Four consecutive positions are all hearts,II_CANDIDATE,2,0.3781434782608695,6,0.2539013927493814,0.0074,5,80,2,"position, suit",0.6457468689210566,5,7.359786954763631,1,mostly_undergen,65.2744347826087,,,four_any_suit_anywhere,23
blacks_then_reds_start_black,"First card is black, and all black cards precede all red cards",TOO_HARD,3,0.16623143880075752,3,0.29709025439507186,0.0892,8,70,1,color,0.924957275703659,10,11.48469498410693,0,mostly_undergen,117.80021428571429,,,three_spades,14
suit_chain_dsh,"Suits follow D then S then H from left to right (only diamonds, spades, hearts; starts with diamond; each step stays or advances by one)",TOO_HARD,3,0.09871875,3,0.23615983257835677,0.0034,4,135,2,"position, suit",0.8847354891422488,10,10.978163015357207,1,mostly_undergen,111.5358125,,,no_adjacent_same_suit,16
two_pairs_suits,At least one suit-pair in the first half (positions 1–3) and at least one suit-pair in the second half (positions 4–6),TOO_HARD,2,0.012821719578259316,1,0.23156696293770843,0.3638,10,42,1,suit,0.5884150088949787,5,5.655067739099506,1,low_signal,74.9259,,,ap_len3_step1_anywhere,20
straight5_same_suit,Five cards form a straight (consecutive ranks) in the same suit,TOO_HARD,3,0.0897772727272727,3,0.1902976112490838,0.0001,1,106,3,"position, rank, suit",0.7603671884788618,7,10.489001790990601,1,mostly_undergen,109.67186956521739,True,straight (consecutive ranks) caught; same-suit constraint missed,four_any_suit_adjacent,23
skip2_same_rank_or_suit,Each card shares rank or suit with the card 2 positions later,TOO_HARD,3,-0.03254285714285715,1,0.09141463398232498,0.0071,5,69,3,"position, rank, suit",0.774871827110977,7,7.728626595716687,0,low_signal,139.39185714285713,,,no_adjacent_same_suit,14
halves_copy_suits,The suit sequence of the right half matches the left half exactly,TOO_HARD,2,0.037834999999999994,2,0.07911122723735235,0.0133,6,90,2,"position, suit",0.7962756426319518,8,10.86371830514197,0,mostly_undergen,158.85895000000002,,,pair_jacks_pos45,20
ap_step1_len3_adj,"Three consecutive positions contain ranks that form a run of 3 (e.g., 5, 6, 7 in any order)",TOO_HARD,3,0.1764309335182775,4,0.2131524957750153,0.1166,9,107,2,"position, rank",0.797970385392107,8,12.207268193080388,0,mostly_undergen,164.65065217391304,,,ap_len3_step1_anywhere,23
ap_step2_len4_adj,"Four consecutive positions contain ranks that form a step-2 progression (e.g., 3, 5, 7, 9 in any order)",TOO_HARD,3,0.04819130434782609,2,0.06698739604383394,0.0182,6,138,2,"position, rank",0.657737585323463,6,7.864291064105896,0,low_signal,79.88504347826087,,,all_red,23
ap_step2_len4_adj_ordered,"Four consecutive positions have ranks increasing by exactly 2 (e.g., 3, 5, 7, 9)",TOO_HARD,3,0.00988888888888889,1,0.025221020529376085,0.0008,3,125,2,"position, rank",0.8300677204059526,9,11.014408686042826,0,low_signal,273.18722222222226,,,three_spades,18
both_halves_have_pair_rank,Each half contains at least one pair of matching ranks,II_CANDIDATE,2,0.3152449820035473,5,0.15578919438523106,0.0297,7,105,2,"position, rank",0.5625,4,4.756828460010884,0,low_signal,62.976,,,two_pairs_ranks,16
colors_palindrome,The sequence of colors reads the same forwards and backwards,TOO_HARD,2,-0.024465217391304347,1,0.042205404647680855,0.1166,9,64,1,color,0.5184084075627995,3,5.080788994468536,0,low_signal,105.29091304347826,,,two_pairs_ranks,23
halves_copy_colors,The color sequence of the right half matches the left half,TOO_HARD,2,0.06545882352941175,3,0.11573224198083279,0.1184,9,98,2,"color, position",0.7876593396295453,8,9.314822528169035,0,low_signal,121.56641176470589,,,three_spades,17
immediate_bracket_closure,Suits form 3 adjacent bracket pairs: each pair is either Spades-Clubs or Hearts-Diamonds (every opener is immediately closed),TOO_HARD,3,0.04017485776284323,2,0.047182494208031486,0.0023,4,95,2,"position, suit",0.8976167900760738,10,11.367874248827984,0,mostly_undergen,128.62593333333334,,,no_adjacent_same_suit,15
radial_decreasing,"Ranks decrease outward from center: center (positions 3–4) > middle (2, 5) > outer (1, 6)",TOO_HARD,3,0.06294615384615385,3,0.16335941316564062,0.0074,5,117,2,"position, rank",0.9168497986377477,10,10.503129936189445,0,low_signal,141.73446153846155,,,no_adjacent_same_suit,13
no_adjacent_same_suit,No two adjacent cards share the same suit,TOO_HARD,3,0.048428571428571425,2,0.0562904892825908,0.2563,10,44,2,"position, suit",0.9107950720287574,10,11.063378400479634,0,low_signal,158.94385714285713,,,two_pairs_ranks,14
pair_5s_adjacent,Two adjacent cards are both 5s (any position),II_CANDIDATE,2,0.4221722222222221,7,0.2050330320421445,0.0218,7,50,1,position,0.4663673301990337,2,3.8496219936533635,0,low_signal,45.435,,,no_adjacent_same_suit,18
suit_brackets_no_cross,"Suits as brackets (♠=( ♣=) ♥=[ ♦=]); well-formed, each type nests only within itself",TOO_HARD,3,0.033,1,0.053263537663625425,0.0051,4,157,1,suit,0.9200625111439563,10,14.286609467713797,0,mostly_undergen,140.20577777777777,,,no_adjacent_same_suit,18
suit_brackets_nested,Suits as brackets (♠=( ♣=) ♥=[ ♦=]); well-formed nested brackets (cross-nesting allowed),TOO_HARD,3,0.04134347826086955,2,0.07182653516019753,0.0104,5,123,1,suit,0.8509276428139875,9,14.412252346696748,0,low_signal,143.3104347826087,,,no_adjacent_same_suit,23
pos16_pos25_same_suit,"Position 1 and position 6 share the same suit, and position 2 and position 5 share the same suit",TOO_HARD,3,0.008284999999999997,1,0.12513291843076307,0.0555,8,41,2,"position, suit",0.7192842873161823,7,8.626019452926144,1,low_signal,92.49804761904763,,,two_pairs_ranks,21
straight5_same_color,Five cards form a straight (consecutive ranks) all in the same color,TOO_HARD,3,0.17812380952380952,4,0.12242387296275925,0.0013,3,110,3,"color, position, rank",0.5023106694030383,3,4.503200128402044,1,mostly_undergen,175.58495238095236,,,straight5,21
adjacent_share_rank_or_suit,Every adjacent pair shares either rank or suit,TOO_HARD,3,0.035978947368421055,2,0.032412774917296654,0.0018,3,69,3,"position, rank, suit",0.8761005719122957,9,13.192185854839234,1,mostly_undergen,132.76505,,,three_or_more_same_suit,20
